ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,1,"$199,597"
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,1,"$750,000"
"21ST CENTURY MEDICINE, INC.",RANCHO CUCAMONGA,CA,UNITED STATES,1,"$251,046"
"2B TECHNOLOGIES, INC.",Boulder,CO,UNITED STATES,1,"$364,923"
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,3,"$1,371,216"
"3DMD, LLC",ATLANTA,GA,UNITED STATES,1,"$100,001"
"3DT HOLDINGS, LLC",INDIANAPOLIS,IN,UNITED STATES,1,"$99,936"
4 D TECHNOLOGY CORPORATION,TUCSON,AZ,UNITED STATES,1,"$107,275"
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,1,"$575,793"
A&E INNOVATIONS,mequon,WI,UNITED STATES,1,"$107,347"
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,2,"$528,223"
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,11,"$5,001,525"
"ABC FOR HEALTH, INC.",MADISON,WI,UNITED STATES,1,"$199,853"
ABEOME CORPORATION,ATHENS,GA,UNITED STATES,1,"$133,995"
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,4,"$1,123,252"
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,"$187,476"
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,1,"$149,798"
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,1,"$192,810"
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,0,"$44,813"
"ACADEMIC PHARMACEUTICALS, INC.",LAKE BLUFF,IL,UNITED STATES,1,"$102,910"
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,1,"$563,434"
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,4,"$5,125,190"
"ACCELALOX, INC.",MENLO PARK,CA,UNITED STATES,1,"$228,827"
"ACCELERATED MEDICAL DIAGNOSTICS, LLC",DAVIS,CA,UNITED STATES,1,"$195,550"
"ACCELEREYES, LLC",Atlanta,GA,UNITED STATES,1,"$236,424"
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,UNITED STATES,1,"$99,989"
"ACCESSIBLE DESIGNS, INC.",SAN ANTONIO,TX,UNITED STATES,1,"$109,541"
"ACCORD BIOMATERIALS, INC.",ANN ARBOR,MI,UNITED STATES,1,"$515,403"
"ACELOT, INC.",SANTA BARBARA,CA,UNITED STATES,1,"$183,715"
"ACHAOGEN, INC.",SOUTH SAN FRANCISCO,CA,UNITED STATES,1,"$5,697,418"
"ACHEVE TECHNOLOGY, INC.",IRVINE,CA,UNITED STATES,1,"$145,325"
"ACHILLION PHARMACEUTICALS, INC.",NEW HAVEN,CT,UNITED STATES,1,"$300,000"
"ACME EXPRESS, INC.",CLEVELAND,OH,UNITED STATES,1,"$176,839"
"ACOUSTIC MEDSYSTEMS, INC.",Savoy,IL,UNITED STATES,1,"$188,384"
"ACOUSTIC MEDSYSTEMS, INC.",CHAMPAIGN,IL,UNITED STATES,2,"$2,169,248"
"ACTIGRAPH, LLC",FORT WALTON BEACH,FL,UNITED STATES,1,"$358,456"
"ACTIVE MOTIF, INC.",CARLSBAD,CA,UNITED STATES,1,"$288,934"
"ACTIVE WAVE, INC.",BOCA RATON,FL,UNITED STATES,1,"$124,896"
