ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"21ST CENTURY THERAPEUTICS, INC.",DETROIT,MI,UNITED STATES,2,"$639,485"
"2B TECHNOLOGIES, INC.",BOULDER,CO,UNITED STATES,1,"$499,734"
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,DURHAM,NC,UNITED STATES,7,"$2,686,370"
"3DT HOLDINGS, LLC",INDIANAPOLIS,CA,UNITED STATES,2,"$938,260"
"490 BIOTECH, INC.",KNOXVILLE,TN,UNITED STATES,4,"$1,061,942"
"6SENSORLABS, INC.",SAN FRANCISCO,CA,UNITED STATES,1,"$213,010"
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,1,"$1,000,000"
"AADI, LLC",PACIFIC PALISADES,CA,UNITED STATES,1,"$924,745"
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,15,"$7,778,846"
"A'AS, INC.",NORRISTOWN,PA,UNITED STATES,1,"$224,835"
"ABREOS BIOSCIENCES, INC.",SAN DIEGO,CA,UNITED STATES,4,"$889,239"
"ABT MOLECULAR IMAGING, INC.",LOUISVILLE,TN,UNITED STATES,1,"$222,828"
"ABZYME THERAPEUTICS, LLC",POTTSTOWN,PA,UNITED STATES,3,"$674,515"
ACADEMIC PEDIATRIC ASSOCIATION,MC LEAN,VA,UNITED STATES,1,"$148,112"
ACADEMISCH ZIEKENHUIS PARAMARIBO,PARAMARIBO,,SURINAME,1,"$379,887"
ACCEL DIAGNOSTICS,PITTSBURGH,PA,UNITED STATES,1,"$225,133"
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,UNITED STATES,1,"$904,729"
"ACCOUNTABILITY SOLUTIONS, LLC",SANTA FE,NM,UNITED STATES,1,"$491,245"
"ACHAOGEN, INC.",SOUTH SAN FRANCISCO,CA,UNITED STATES,1,"$1,499,801"
"ACIONT, INC.",SALT LAKE CITY,UT,UNITED STATES,1,"$5,000"
"ACKCO, INC.",PHOENIX,AZ,UNITED STATES,1,"$198,887"
"ACOUSTIC MEDSYSTEMS, INC.",Savoy,IL,UNITED STATES,2,"$1,400,301"
