ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"AFFYMETRIX, INC.",SANTA CLARA,CA,UNITED STATES,1,"$3,086,653"
"AFG BIOSOLUTIONS, INC.",Gaithersburg,MD,UNITED STATES,1,"$299,798"
AG BELL ASSN FOR DEAF & HARD OF HEARING,WASHINGTON,DC,UNITED STATES,1,"$27,504"
AGA KHAN UNIVERSITY,KARACHI,,PAKISTAN,4,"$459,467"
AGAVE BIOSYSTEMS,AUSTIN,TX,UNITED STATES,1,"$100,001"
"AGENNIX, INC.",HOUSTON,TX,UNITED STATES,2,"$2,198,750"
"AGENTA BIOTECHNOLOGIES, INC.",BIRMINGHAM,AL,UNITED STATES,1,"$462,450"
"AGENTASE, LLC",PITTSBURGH,PA,UNITED STATES,1,"$316,178"
"AGENTSHEETS, INC.",BOULDER,CO,UNITED STATES,1,"$374,500"
"AGILE GENOMICS, LLC",Mt Pleasant,SC,UNITED STATES,1,"$99,500"
AGNES SCOTT COLLEGE,DECATUR,GA,UNITED STATES,2,"$266,460"
"AGORANET, INC.",NEWARK,DE,UNITED STATES,1,"$421,489"
"AGUILA TECHNOLOGIES, INC.",SAN MARCOS,CA,UNITED STATES,2,"$694,435"
AIN SHAMS UNIVERSITY,CAIRO,,EGYPT,1,"$233,034"
"AJ MEDICAL DEVICES, INC.",Wilmette,IL,UNITED STATES,1,"$993,857"
AKAZA RESEARCH,CAMBRIDGE,MA,UNITED STATES,1,"$343,202"
"AKONNI BIOSYSTEMS, INC.",Frederick,MD,UNITED STATES,2,"$917,518"
AKRON GENERAL MEDICAL CENTER,AKRON,OH,UNITED STATES,1,"$68,600"
"AKTIV-DRY, LLC",BOULDER,CO,UNITED STATES,2,"$346,608"
ALABAMA AGRI AND MECH UNIVERSITY,NORMAL,AL,UNITED STATES,1,"$89,963"
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,1,"$336,185"
ALAN GUTTMACHER INSTITUTE,NEW YORK,NY,UNITED STATES,1,"$310,000"
"ALAN PENN AND ASSOCIATES, INC.",ROCKVILLE,MD,UNITED STATES,1,"$100,058"
ALASKA COMMUNITY ACTION ON TOXICS (ACAT),ANCHORAGE,AK,UNITED STATES,1,"$208,836"
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,ANCHORAGE,AK,UNITED STATES,2,"$620,016"
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,3,"$690,514"
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,42,"$11,463,823"
ALBANY STATE UNIVERSITY,ALBANY,GA,UNITED STATES,3,"$900,629"
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NEW YORK,NY,UNITED STATES,6,"$9,336,724"
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NEW YORK,NY,UNITED STATES,323,"$132,129,676"
ALBERT EINSTEIN HEALTHCARE NETWORK,PHILADELPHIA,PA,UNITED STATES,2,"$1,401,833"
ALBERTSON COLLEGE OF IDAHO,CALDWELL,ID,UNITED STATES,1,"$195,000"
ALBUQUERQUE AREA INDIAN HEALTH BOARD,ALBUQUERQUE,NM,UNITED STATES,1,"$50,000"
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,UNITED STATES,1,"$242,498"
"ALDERON BIOSCIENCES, INC.",Newport,NC,UNITED STATES,3,"$584,157"
ALEXIAN BROTHERS MEDICAL CENTER,ELK GROVE VILLAGE,IL,UNITED STATES,1,"$405,921"
ALFRED I. DU PONT HOSP FOR CHILDREN,WILMINGTON,DE,UNITED STATES,6,"$2,638,423"
ALIAS-I,NEW YORK,NY,UNITED STATES,1,"$373,278"
"ALKYMOS, INC",LEXINGTON,KY,UNITED STATES,1,"$99,646"
ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,UNITED STATES,1,"$109,236"
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,UNITED STATES,8,"$3,331,245"
ALLEN INSTITUTE FOR BRAIN SCIENCE,SEATTLE,WA,UNITED STATES,1,"$1,365,996"
ALLEN INSTITUTE FOR BRAIN SCIENCE,SEATTLE,WA,UNITED STATES,1,"$377,537"
"ALLIED INNOVATIVE SYSTEMS, LLC",Hillsborough,NJ,UNITED STATES,2,"$858,310"
ALLINA HEALTH SYSTEM,MINNEAPOLIS,MN,UNITED STATES,1,"$168,328"
"ALLVIVO VASCULAR, INC.",LAKE FOREST,CA,UNITED STATES,1,"$423,190"
"ALMEN LABORATORIES, INC.",VISTA,CA,UNITED STATES,1,"$443,533"
ALNYLAM PHARMACEUTICALS,CAMBRIDGE,MA,UNITED STATES,1,"$7,547,998"
"ALPHA GENESIS, INC.",YEMASSEE,SC,UNITED STATES,1,"$2,106,281"
"ALPHA UNIVERSE, LLC",MADISON,WI,UNITED STATES,1,"$270,020"
"ALPHACORE PHARMA, LLC",ANN ARBOR,MI,UNITED STATES,1,"$240,129"
"ALPHAMED, INC",ACTON,MA,UNITED STATES,1,"$397,597"
"ALPHAVAX HUMAN VACCINES, INC.",RESEARCH TRIANGLE PARK,NC,UNITED STATES,2,"$936,414"
"ALTEC, INC.",BOSTON,MA,UNITED STATES,1,"$455,129"
ALZHEIMER'S DRUG DISCOVERY FOUNDATION,NEW YORK,NY,UNITED STATES,1,"$20,000"
"AM BIOTECHNOLOGIES, LLC",Houston,TX,UNITED STATES,1,"$99,600"
"AMAR INTERNATIONAL, INC.",RESTON,VA,UNITED STATES,1,"$397,767"
"AMBERGEN, INC",Watertown,MA,UNITED STATES,6,"$3,228,711"
"AMBION DIAGNOSTICS, INC.",AUSTIN,TX,UNITED STATES,5,"$1,642,269"
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,Providence,RI,UNITED STATES,1,"$50,000"
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,IL,UNITED STATES,2,"$41,000"
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,UNITED STATES,1,"$1,133,676"
AMERICAN ASSOC OF PHYSICISTS IN MEDICINE,COLLEGE PARK,MD,UNITED STATES,1,"$19,600"
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,UNITED STATES,6,"$1,433,294"
AMERICAN ASSOCIATION FOR DENTAL RESEARCH,ALEXANDRIA,VA,UNITED STATES,1,"$54,000"
AMERICAN ASSOCIATION FOR THE ADV OF SCI,WASHINGTON,DC,UNITED STATES,1,"$255,110"
"AMERICAN BIOOPTICS, LLC",Evanston,IL,UNITED STATES,1,"$394,745"
"AMERICAN CANCER SOCIETY, INC.",ATLANTA,GA,UNITED STATES,1,"$1,063,219"
AMERICAN CHEMICAL SOCIETY,WASHINGTON,DC,UNITED STATES,1,"$5,000"
AMERICAN COLLEGE OF MEDICAL GENETICS,BETHESDA,MD,UNITED STATES,1,"$998,927"
AMERICAN COLLEGE OF RADIOLOGY,RESTON,VA,UNITED STATES,4,"$23,035,497"
AMERICAN COLLEGE OF RHEUMATOLOGY,ATLANTA,GA,UNITED STATES,1,"$40,000"
AMERICAN COLLEGE OF SURGEONS,CHICAGO,IL,UNITED STATES,1,"$131,140"
AMERICAN DENTAL ASSOCIATION FOUNDATION,CHICAGO,IL,UNITED STATES,8,"$1,848,998"
"AMERICAN FED OF ST, CO, & MUN EMPLOYEES",WASHINGTON,DC,UNITED STATES,1,"$645,174"
AMERICAN FEDERATION FOR AGING RESEARCH,NEW YORK,NY,UNITED STATES,1,"$15,000"
AMERICAN FEDERATION FOR MEDICAL RESEARCH,BEVERLY,MA,UNITED STATES,1,"$52,515"
AMERICAN FOUNDATION FOR AIDS RESEARCH,NEW YORK,NY,UNITED STATES,1,"$1,240,736"
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,1,"$1,512,759"
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,2,"$900,551"
AMERICAN LIFE SCIENCE PHARMACEUTICALS,SAN DIEGO,CA,UNITED STATES,2,"$210,226"
AMERICAN MEDICAL INFORMATICS ASSN,BETHESDA,MD,UNITED STATES,1,"$20,000"
AMERICAN MUSEUM OF NATURAL HISTORY,NEW YORK,NY,UNITED STATES,1,"$198,226"
AMERICAN ORTHOPAEDIC SOCIETY/SPORTS MED,ROSEMONT,IL,UNITED STATES,1,"$25,000"
AMERICAN PHYSIOLOGICAL SOCIETY,BETHESDA,MD,UNITED STATES,3,"$417,935"
AMERICAN PSYCHIATRIC FOUNDATION,ARLINGTON,VA,UNITED STATES,2,"$828,266"
AMERICAN PSYCHOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,2,"$1,114,989"
AMERICAN PSYCHOPATHOLOGICAL ASSOCIATION,SAINT LOUIS,MO,UNITED STATES,1,"$43,230"
AMERICAN PSYCHOSOMATIC SOCIETY (APS),MC LEAN,VA,UNITED STATES,1,"$15,000"
"AMERICAN REGISTRY OF PATHOLOGY, INC.",WASHINGTON,DC,UNITED STATES,2,"$388,575"
"AMERICAN SOC OF LAW, MEDICINE & ETHICS",BOSTON,MA,UNITED STATES,0,"$14,016"
AMERICAN SOCIETY FOR BONE & MINERAL RES,WASHINGTON,DC,UNITED STATES,0,"$3,000"
AMERICAN SOCIETY FOR CELL BIOLOGY,BETHESDA,MD,UNITED STATES,0,"$604,709"
AMERICAN SOCIETY FOR MICROBIOLOGY,WASHINGTON,DC,UNITED STATES,6,"$790,508"
AMERICAN SOCIETY FOR PARENT & ENTER NUTR,SILVER SPRING,MD,UNITED STATES,1,"$22,000"
AMERICAN SOCIETY FOR PHARMACOLOGY EXP TH,BETHESDA,MD,UNITED STATES,1,"$2,500"
