ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"1ST PLAYABLE PRODUCTIONS, LLC",TROY,NY,UNITED STATES,2,"$374,999"
"21ST CENTURY THERAPEUTICS, INC.",DETROIT,MI,UNITED STATES,1,"$4,784"
"23ANDME, INC.",MOUNTAIN VIEW,CA,UNITED STATES,2,"$2,018,917"
"2B TECHNOLOGIES, INC.",BOULDER,CO,UNITED STATES,1,"$484,446"
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,DURHAM,NC,UNITED STATES,6,"$2,798,672"
"3DT HOLDINGS, LLC",SAN DIEGO,CA,UNITED STATES,2,"$1,066,789"
"3HELIX, INC.",HOLLADAY,UT,UNITED STATES,1,"$149,623"
"480 BIOMEDICAL, INC.",WATERTOWN,MA,UNITED STATES,2,"$1,387,398"
"490 BIOTECH, INC.",KNOXVILLE,TN,UNITED STATES,1,"$457,746"
"7 HILLS PHARMA, LLC",HOUSTON,TX,UNITED STATES,2,"$609,636"
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,10,"$5,419,122"
"ABCAM, INC.",CAMBRIDGE,MA,UNITED STATES,1,"$598,358"
"ABCOMBI BIOSCIENCES, INC.",AMHERST,NY,UNITED STATES,1,"$300,000"
ABEOME CORPORATION,ATHENS,GA,UNITED STATES,1,"$809,592"
"ABILITA BIO, INC.",SAN DIEGO,CA,UNITED STATES,1,"$300,000"
"ABT MOLECULAR IMAGING, INC.",LOUISVILLE,TN,UNITED STATES,1,"$843,368"
"ABVIRO, LLC",BETHESDA,MD,UNITED STATES,2,"$5,152,302"
"ABWIZ BIO, INC.",SAN DIEGO,CA,UNITED STATES,1,"$229,600"
"ABZYME THERAPEUTICS, LLC",POTTSTOWN,PA,UNITED STATES,3,"$1,014,817"
ACADEMIC PEDIATRIC ASSOCIATION,MC LEAN,VA,UNITED STATES,2,"$156,112"
ACADEMISCH ZIEKENHUIS PARAMARIBO,PARAMARIBO,,SURINAME,1,"$376,951"
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,1,"$50,702"
ACCEL DIAGNOSTICS,PITTSBURGH,PA,UNITED STATES,2,"$358,051"
"ACCELEREYES, LLC",ATLANTA,GA,UNITED STATES,1,"$146,389"
"ACCELERO BIOSTRUCTURES, INC.",FOSTER CITY,CA,UNITED STATES,1,"$223,053"
"ACCELEVIR DIAGNOSTICS, LLC",BALTIMORE,MD,UNITED STATES,1,"$259,322"
"ACELOT, INC.",SANTA BARBARA,CA,UNITED STATES,1,"$223,325"
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,UNITED STATES,1,"$875,076"
"ACHAOGEN, INC.",SOUTH SAN FRANCISCO,CA,UNITED STATES,1,"$2,933,817"
"ACLARIS MEDICAL, LLC",FALCON HEIGHTS,MN,UNITED STATES,1,"$449,996"
ACMA SOCIAL MARKETING,SANTA FE,NM,UNITED STATES,1,"$587,225"
"ACORDA THERAPEUTICS, INC.",ARDSLEY,NY,UNITED STATES,1,"$889,977"
"ACOUSTIC BIOSYSTEMS, INC.",SANTE FE,NM,UNITED STATES,1,"$150,000"
"ACOUSTIC MEDSYSTEMS, INC.",Savoy,IL,UNITED STATES,2,"$962,941"
"ACPHARIS, INC.",HOLLISTON,MA,UNITED STATES,1,"$225,000"
"ACTINOBAC BIOMED, INC.",NORTH BRUNSWICK,NJ,UNITED STATES,1,"$140,000"
"ACTIVE MOTIF, INC.",CARLSBAD,CA,UNITED STATES,2,"$449,995"
"ACTORIUS PHARMACEUTICALS, LLC",OMAHA,NE,UNITED STATES,1,"$324,985"
"ACTUATED MEDICAL, INC.",BELLEFONTE,PA,UNITED STATES,5,"$3,036,494"
"ACUMEN PHARMACEUTICALS, INC.",LIVERMORE,CA,UNITED STATES,1,"$222,192"
"ACUMEN, LLC",BURLINGAME,CA,UNITED STATES,3,"$641,558"
ADDIS ABABA UNIVERSITY,ADDIS ABABA,,ETHIOPIA,4,"$1,052,932"
"ADECTO PHARMACEUTICALS, INC.",BROOKLINE,MA,UNITED STATES,2,"$363,490"
ADEPTRIX CORPORATION,BOSTON,MA,UNITED STATES,1,"$720,069"
ADERA,PESSAC Cedex,,FRANCE,1,"$749,979"
"ADIENT MEDICAL, INC.",PEARLAND,TX,UNITED STATES,1,"$620,973"
"ADP SILVER DENTAL ARREST, LLC",REDMOND,OR,UNITED STATES,1,"$150,000"
"ADT PHARMACEUTICALS, INC.",ORANGE BEACH,AL,UNITED STATES,1,"$300,000"
