ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"21ST CENTURY THERAPEUTICS, INC.",FERNDALE,MI,UNITED STATES,1,"$338,736"
"23ANDME, INC.",MOUNTAIN VIEW,CA,UNITED STATES,1,"$561,529"
"2B TECHNOLOGIES, INC.",BOULDER,CO,UNITED STATES,1,"$149,690"
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,5,"$1,710,808"
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,DURHAM,NC,UNITED STATES,1,"$1,054,586"
"3DT HOLDINGS, LLC",INDIANAPOLIS,IN,UNITED STATES,1,"$230,895"
"3P BIOTECHNOLOGIES, INC.",PROSPECT,KY,UNITED STATES,1,"$225,000"
"4DGENOME, INC.",DECATUR,GA,UNITED STATES,1,"$218,556"
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,1,"$69,040"
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,15,"$8,023,057"
ABEOME CORPORATION,ATHENS,GA,UNITED STATES,1,"$242,066"
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,1,"$428,642"
"ABREOS BIOSCIENCES, INC.",SAN DIEGO,CA,UNITED STATES,2,"$394,541"
"ABZYME THERAPEUTICS, LLC",MALVERN,PA,UNITED STATES,3,"$667,909"
ACADEMIC PEDIATRIC ASSOCIATION,MC LEAN,VA,UNITED STATES,1,"$148,112"
"ACADIA PHARMACEUTICALS, INC.",SAN DIEGO,CA,UNITED STATES,1,"$866,941"
"ACCELEREYES, LLC",ATLANTA,GA,UNITED STATES,1,"$499,601"
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,UNITED STATES,2,"$688,430"
"ACCESS SENSOR TECHNOLOGIES, LLC",FORT COLLINS,CO,UNITED STATES,1,"$149,999"
"ACCOUNTABILITY SOLUTIONS, LLC",SANTA FE,NM,UNITED STATES,1,"$498,741"
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,UNITED STATES,1,"$59,356"
"ACHAOGEN, INC.",SOUTH SAN FRANCISCO,CA,UNITED STATES,1,"$407,104"
