ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"13THERAPEUTICS, INC.",PORTLAND,OR,UNITED STATES,3,"$1,294,742"
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,2,"$283,218"
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,2,"$753,589"
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,3,"$757,244"
3M COMPANY,ST. PAUL,MN,UNITED STATES,1,"$3,286"
454 LIFE SCIENCES CORPORATION,BRANFORD,CT,UNITED STATES,1,"$586,688"
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,1,"$120,600"
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,1,"$209,736"
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,11,"$4,886,152"
"ABACUS-N-BYTES, INC.",WHEATON,MD,UNITED STATES,1,"$13,590"
ABERDEEN AREA TRIBAL CHAIRMEN'S HLTH BRD,RAPID CITY,SD,UNITED STATES,1,"$462,450"
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,1,"$99,312"
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,2,"$862,772"
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,2,"$475,001"
"ABOUT WEB, LLC",ROCKVILLE,MD,UNITED STATES,2,"$629,146"
"ABQMR, INC.",ALBUQUERQUE,NM,UNITED STATES,1,"$167,183"
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,1,"$321,125"
"AC TECHNOLOGIES, INC.",FAIRFAX,VA,UNITED STATES,2,"$2,480,530"
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,2,"$630,742"
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,3,"$3,096,668"
ACADEMY OF SCIENCES OF CZECH REPUBLIC,PRAGUE 4,,CZECH REPUBLIC,1,"$51,202"
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,1,"$376,881"
"ACCACIA INTERNATIONAL, INC.",AUSTIN,TX,UNITED STATES,1,"$149,944"
"ACCACIA INTERNATIONAL, INC.",AUSTIN,TX,UNITED STATES,1,"$672,066"
"ACCELRYS, INC.",SAN DIEGO,CA,UNITED STATES,1,"$9,853"
"ACCENT MEDIA PRODUCTION, INC.",MC LEAN,VA,UNITED STATES,1,"$491,510"
"ACCESSIBLE DESIGNS, INC.",SAN ANTONIO,TX,UNITED STATES,1,"$99,992"
"ACELOT, INC.",SANTA BARBARA,CA,UNITED STATES,1,"$223,300"
"ACENTA DISCOVERY, INC.",TUCSON,AZ,UNITED STATES,3,"$821,468"
"ACES-RESEARCH, LLC",ITHACA,NY,UNITED STATES,1,"$99,986"
ACOUSTX CORPORATION,SEATTLE,WA,UNITED STATES,1,"$162,281"
"ACTIVESITE PHARMACEUTICALS, INC.",BERKELEY,CA,UNITED STATES,1,"$224,868"
"ACUCELA, INC.",Bothell,WA,UNITED STATES,2,"$199,295"
ACULIGHT CORPORATION,BOTHELL,WA,UNITED STATES,2,"$774,895"
"ACUMEN, LLC",BURLINGAME,CA,UNITED STATES,3,"$712,425"
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,3,"$653,685"
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,1,"$145,229"
ADDICTION RESEARCH AND TREATMENT CORP,NEW YORK,NY,UNITED STATES,1,"$208,585"
"ADELPHI TECHNOLOGY, INC.",SAN CARLOS,CA,UNITED STATES,1,"$372,758"
"ADENOSINE THERAPEUTICS, LLC",CHARLOTTESVILLE,VA,UNITED STATES,3,"$1,204,935"
ADVANCED BIOLOGICAL TECHNOLOGIES,CINCINNATI,OH,UNITED STATES,1,"$181,195"
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,3,"$8,788,251"
"ADVANCED BRAIN MONITORING, INC.",CARLSBAD,CA,UNITED STATES,3,"$807,557"
"ADVANCED CIRCULATORY SYSTEMS, INC.",EDEN PRAIRIE,MN,UNITED STATES,4,"$1,841,222"
ADVANCED LIQUID LOGIC,RESEARCH TRIANGLE PARK,NC,UNITED STATES,3,"$1,906,238"
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,UNITED STATES,11,"$3,904,962"
"ADVANCED MRI TECHNOLOGY, LLC",SEBASTOPOL,CA,UNITED STATES,1,"$153,000"
"ADVANCED PHOTODYNAMIC TECHNOLOGIES, INC.",MINNEAPOLIS,MN,UNITED STATES,1,"$352,388"
"ADVANCED X-RAY TECHNOLOGY, INC.",BIRMINGHAM,MI,UNITED STATES,1,"$380,000"
"ADVANSTA, INC.",MENLO PARK,CA,UNITED STATES,1,"$150,000"
"ADVANTAGENE, INC",WABAN,MA,UNITED STATES,4,"$1,479,855"
"AERIS THERAPEUTICS, INC.",WOBURN,MA,UNITED STATES,1,"$391,775"
"AERODYNE RESEARCH, INC",BILLERICA,MA,UNITED STATES,1,"$362,181"
"AEROPHASE, INC.",LONGMONT,CO,UNITED STATES,3,"$1,062,167"
"AEROPRISE, INC.",MOUNTAIN VIEW,CA,UNITED STATES,1,"$16,821"
"AESTUS THERAPEUTICS, INC.",PRINCETON,NJ,UNITED STATES,1,"$198,960"
"AFASCI, INC.",BURLINGAME,CA,UNITED STATES,2,"$432,266"
"AFFINERGY ,INC",RESEARCH TRIANGLE PARK,NC,UNITED STATES,5,"$1,856,278"
"AFFYMETRIX, INC.",SANTA CLARA,CA,UNITED STATES,1,"$3,233,148"
"AFG BIOSOLUTIONS, INC.",Gaithersburg,MD,UNITED STATES,1,"$311,603"
"AFRAME DIGITAL, INC.",LOVETTSVILLE,VA,UNITED STATES,1,"$99,771"
AGA KHAN UNIVERSITY,KARACHI,,PAKISTAN,3,"$375,470"
"AGENNIX, INC.",HOUSTON,TX,UNITED STATES,1,"$570,399"
"AGENTA BIOTECHNOLOGIES, INC.",BIRMINGHAM,AL,UNITED STATES,2,"$515,318"
"AGENTASE, LLC",PITTSBURGH,PA,UNITED STATES,1,"$331,088"
"AGENTSHEETS, INC.",BOULDER,CO,UNITED STATES,1,"$374,500"
"AGINOVA, INC.",FREEHOLD,NJ,UNITED STATES,1,"$94,681"
"AGITAR SOFTWARE, INC.",MOUNTAIN VIEW,CA,UNITED STATES,1,"$75,000"
AGNES SCOTT COLLEGE,DECATUR,GA,UNITED STATES,3,"$427,492"
"AGORANET, INC.",NEWARK,DE,UNITED STATES,1,"$417,949"
"AGUILA TECHNOLOGIES, INC.",SAN MARCOS,CA,UNITED STATES,2,"$840,142"
"AIKO BIOTECHNOLOGY, INC.",PORTLAND,ME,UNITED STATES,1,"$182,966"
AIN SHAMS UNIVERSITY,CAIRO,,EGYPT,1,"$230,722"
"AINS, INC.",GAITHERSBURG,MD,UNITED STATES,1,"$53,064"
AKAZA RESEARCH,CAMBRIDGE,MA,UNITED STATES,1,"$343,444"
"AKINA, INC.",WEST LAFAYETTE,IN,UNITED STATES,1,"$100,000"
"AKONNI BIOSYSTEMS, INC.",NEW MARKET,MD,UNITED STATES,4,"$1,695,410"
"AKUBIO, LTD",CAMBRIDGE,,UNITED KINGDOM,1,"$676,920"
"ALA SCIENTIFIC INSTRUMENTS, INC.",WESTBURY,NY,UNITED STATES,1,"$181,825"
ALABAMA AGRI AND MECH UNIVERSITY,NORMAL,AL,UNITED STATES,1,"$91,800"
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,2,"$1,100,427"
ALASKA COMMUNITY ACTION ON TOXICS (ACAT),ANCHORAGE,AK,UNITED STATES,1,"$208,637"
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,ANCHORAGE,AK,UNITED STATES,2,"$626,986"
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,2,"$394,232"
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,38,"$11,043,438"
"ALBANY MOLECULAR RESEARCH, INC.",ALBANY,NY,UNITED STATES,1,"$170,911"
"ALBANY RESEARCH INSTITUTE, INC.",ALBANY,NY,UNITED STATES,1,"$116,430"
ALBANY STATE UNIVERSITY,ALBANY,GA,UNITED STATES,3,"$908,929"
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NEW YORK,NY,UNITED STATES,3,"$4,868,872"
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NEW YORK,NY,UNITED STATES,310,"$132,454,345"
ALBERT EINSTEIN HEALTHCARE NETWORK,PHILADELPHIA,PA,UNITED STATES,3,"$1,752,415"
ALBUQUERQUE AREA INDIAN HEALTH BOARD,ALBUQUERQUE,NM,UNITED STATES,1,"$50,000"
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,UNITED STATES,1,"$241,074"
ALFRED I. DU PONT HOSP FOR CHILDREN,WILMINGTON,DE,UNITED STATES,6,"$2,523,224"
ALIAS-I,BROOKLYN,NY,UNITED STATES,1,"$374,415"
ALION SCIENCE AND TECHNOLOGY CORP,DURHAM,NC,UNITED STATES,1,"$3,000,000"
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,UNITED STATES,10,"$3,640,233"
ALLELE BIOTECHNOLOGY AND PHARMACEUTICALS,SAN DIEGO,CA,UNITED STATES,1,"$150,000"
"ALLEZ PHYSIONIX, LTD",SEATTLE,WA,UNITED STATES,1,"$531,443"
ALLIANCE/PRUDENT USE OF ANTIBIOTICS,BOSTON,MA,UNITED STATES,1,"$5,000"
"ALLIED INNOVATIVE SYSTEMS, LLC",Hillsborough,NJ,UNITED STATES,3,"$1,249,515"
"ALLTRANZ, INC.",LEXINGTON,KY,UNITED STATES,1,"$100,565"
"ALLVIVO VASCULAR, INC.",LAKE FOREST,CA,UNITED STATES,1,"$398,235"
"ALMEN LABORATORIES, INC.",VISTA,CA,UNITED STATES,1,"$449,607"
"ALPHA GAMMA TECHNOLOGIES, INC.",RALEIGH,NC,UNITED STATES,1,"$7,889"
"ALPHA GENESIS, INC.",YEMASSEE,SC,UNITED STATES,1,"$1,339,568"
"ALPHA UNIVERSE, LLC",MADISON,WI,UNITED STATES,1,"$173,498"
"ALPHAMED, INC",ACTON,MA,UNITED STATES,2,"$227,253"
"ALPHASNIFFER, LLC",BOULDER,CO,UNITED STATES,1,"$235,287"
"ALPHAVAX HUMAN VACCINES, INC.",RESEARCH TRIANGLE PARK,NC,UNITED STATES,3,"$2,948,053"
"ALPHAVAX HUMAN VACCINES, INC.",RESEARCH TRIA,NC,UNITED STATES,1,"$1,136,715"
"ALTAIR ENGINEERING, INC.",AUSTIN,TX,UNITED STATES,1,"$14,874"
"ALTEC, INC.",BOSTON,MA,UNITED STATES,1,"$327,184"
ALTOR BIOSCIENCE CORPORATION,MIRAMAR,FL,UNITED STATES,2,"$1,749,462"
"ALTUM, INC.",CHANTILLY,VA,UNITED STATES,1,"$63,150"
ALZHEIMER'S DRUG DISCOVERY FOUNDATION,NEW YORK,NY,UNITED STATES,1,"$75,000"
"AMAR INTERNATIONAL, INC.",FAIRFAX,VA,UNITED STATES,1,"$470,000"
"AMAXA, INC.",GAITHERSBURG,MD,UNITED STATES,1,"$37,980"
"AMBERGEN, INC",Watertown,MA,UNITED STATES,7,"$3,484,350"
"AMBION DIAGNOSTICS, INC.",AUSTIN,TX,UNITED STATES,6,"$2,096,562"
AMEDICA CORPORATION,SALT LAKE CITY,UT,UNITED STATES,1,"$465,253"
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,Providence,RI,UNITED STATES,1,"$25,000"
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,IL,UNITED STATES,2,"$55,000"
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,UNITED STATES,1,"$1,133,676"
AMERICAN ASSOC OF PHYSICISTS IN MEDICINE,COLLEGE PARK,MD,UNITED STATES,1,"$20,000"
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,UNITED STATES,7,"$1,207,951"
AMERICAN ASSOCIATION FOR DENTAL RESEARCH,ALEXANDRIA,VA,UNITED STATES,1,"$54,000"
AMERICAN ASSOCIATION FOR THE ADV OF SCI,WASHINGTON,DC,UNITED STATES,1,"$253,713"
AMERICAN ASSOCIATION OF IMMUNOLOGISTS,BETHESDA,MD,UNITED STATES,1,"$47,520"
"AMERICAN BIOOPTICS, LLC",Evanston,IL,UNITED STATES,1,"$100,007"
AMERICAN COLLEGE OF MEDICAL GENETICS,BETHESDA,MD,UNITED STATES,1,"$20,000"
AMERICAN COLLEGE OF RADIOLOGY,PHILADELPHIA,PA,UNITED STATES,6,"$23,968,708"
AMERICAN COLLEGE OF RHEUMATOLOGY,ATLANTA,GA,UNITED STATES,1,"$40,000"
AMERICAN COLLEGE OF SURGEONS,CHICAGO,IL,UNITED STATES,1,"$134,838"
AMERICAN DENTAL ASSOCIATION FOUNDATION,CHICAGO,IL,UNITED STATES,9,"$2,067,047"
"AMERICAN EAGLE COURIER, INC.",SPRINGFIELD,VA,UNITED STATES,1,"$6,480"
"AMERICAN FED OF ST, CO, & MUN EMPLOYEES",WASHINGTON,DC,UNITED STATES,1,"$662,770"
AMERICAN FEDERATION FOR AGING RESEARCH,NEW YORK,NY,UNITED STATES,1,"$25,000"
AMERICAN FEDERATION FOR MEDICAL RESEARCH,BEVERLY,MA,UNITED STATES,1,"$50,985"
AMERICAN FOUNDATION FOR AIDS RESEARCH,NEW YORK,NY,UNITED STATES,1,"$1,150,713"
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,1,"$1,317,726"
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,1,"$977,978"
AMERICAN LIFE SCIENCE PHARMACEUTICALS,SAN DIEGO,CA,UNITED STATES,1,"$158,467"
AMERICAN MEDICAL INFORMATICS ASSN,BETHESDA,MD,UNITED STATES,1,"$35,000"
AMERICAN NATL RED CROSS--GREATER CHICAGO,CHICAGO,IL,UNITED STATES,1,"$520,419"
AMERICAN PHYSIOLOGICAL SOCIETY,BETHESDA,MD,UNITED STATES,3,"$454,380"
AMERICAN PSYCHIATRIC FOUNDATION,ARLINGTON,VA,UNITED STATES,2,"$320,547"
AMERICAN PSYCHOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,2,"$1,305,608"
AMERICAN PSYCHOSOCIAL ONCOLOGY SOCIETY,CHARLOTTESVILLE,VA,UNITED STATES,1,"$10,000"
AMERICAN PSYCHOSOMATIC SOCIETY (APS),MC LEAN,VA,UNITED STATES,1,"$12,000"
"AMERICAN REGISTRY OF PATHOLOGY, INC.",WASHINGTON,DC,UNITED STATES,3,"$534,139"
"AMERICAN SOC OF LAW, MEDICINE & ETHICS",BOSTON,MA,UNITED STATES,1,"$75,447"
AMERICAN SOCIAL HEALTH ASSOCIATION,DURHAM,NC,UNITED STATES,1,"$40,000"
AMERICAN SOCIETY FOR BONE & MINERAL RES,WASHINGTON,DC,UNITED STATES,1,"$27,000"
AMERICAN SOCIETY FOR CELL BIOLOGY,BETHESDA,MD,UNITED STATES,2,"$187,763"
AMERICAN SOCIETY FOR INVESTIG PATHOLOGY,BETHESDA,MD,UNITED STATES,1,"$10,000"
AMERICAN SOCIETY FOR MICROBIOLOGY,WASHINGTON,DC,UNITED STATES,5,"$778,182"
AMERICAN SOCIETY FOR PARENT & ENTER NUTR,SILVER SPRING,MD,UNITED STATES,1,"$20,000"
AMERICAN SOCIETY FOR REPRODUCTIVE MED,BIRMINGHAM,AL,UNITED STATES,1,"$11,000"
AMERICAN SOCIETY OF ANDROLOGY,SCHAUMBURG,IL,UNITED STATES,1,"$19,500"
AMERICAN SOCIETY OF GENE THERAPY,MILWAUKEE,WI,UNITED STATES,1,"$20,000"
AMERICAN SOCIETY OF HEMATOLOGY,WASHINGTON,DC,UNITED STATES,1,"$34,000"
AMERICAN SOCIETY OF PHARMACOGNOSY FDN,CORVALLIS,OR,UNITED STATES,0,"$7,000"
AMERICAN SOCIETY OF TROP MED & HYGIENE,NORTHBROOK,IL,UNITED STATES,1,"$7,500"
AMERICAN SOCIOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,1,"$436,415"
AMERICAN SPEECH-LANGUAGE-HEARING ASSN,ROCKVILLE,MD,UNITED STATES,1,"$60,000"
AMERICAN THORACIC SOCIETY,NEW YORK,NY,UNITED STATES,1,"$32,750"
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VA,UNITED STATES,1,"$1,477,328"
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VA,UNITED STATES,1,"$185,677"
AMERICAN UNIVERSITY,WASHINGTON,DC,UNITED STATES,1,"$26,533"
AMERICAN UNIVERSITY OF BEIRUT,BEIRUT,,LEBANON,1,"$148,270"
AMERICAN UROLOGICAL ASSOCIATION,LINTHICUM,MD,UNITED STATES,1,"$10,000"
AMERICIANS FOR LIBRARIES COUNCIL,NEW YORK,NY,UNITED STATES,1,"$200,000"
"AMES TECHNOLOGY, INC.",PORTLAND,OR,UNITED STATES,1,"$178,775"
AMNIS CORPORATION,SEATTLE,WA,UNITED STATES,2,"$56,000"
"AMPLIFIED PROTEOMICS, INC",MOUNTAIN VIEW,CA,UNITED STATES,1,"$490,118"
AMRON CORPORATION,MC LEAN,VA,UNITED STATES,1,"$99,953"
