ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"ADVANCED RESPIRATORY TECHNOLOGIES, LLC",PITTSBURGH,PA,UNITED STATES,1,"$224,341"
"ADVANCED RNA TECHNOLOGIES, LLC",BOULDER,CO,UNITED STATES,1,"$231,500"
ADVANCED SCIENCE RESEARCH CENTER,NEW YORK,NY,UNITED STATES,5,"$1,394,484"
"ADVANCED TARGETING SYSTEMS, INC.",SAN DIEGO,CA,UNITED STATES,1,"$150,000"
ADVANCES IN MINERAL METABOLISM,ROCHESTER,MN,UNITED STATES,1,"$18,000"
AERAS,ROCKVILLE,MD,UNITED STATES,1,"$210,000"
"AEROPHASE, INC.",LONGMONT,CO,UNITED STATES,1,"$300,000"
"AEROSOL DYNAMICS, INC.",BERKELEY,CA,UNITED STATES,1,"$518,991"
"AETHLON MEDICAL, INC.",SAN DIEGO,CA,UNITED STATES,1,"$299,250"
"AFASCI, INC.",REDWOOD CITY,CA,UNITED STATES,1,"$973,076"
"AFFINERGY, LLC",DURHAM,NC,UNITED STATES,8,"$3,720,019"
"AFFINITY THERAPEUTICS, LLC",CLEVELAND,OH,UNITED STATES,1,"$225,000"
"AFRAXIS 2.0, INC.",SAN DIEGO,CA,UNITED STATES,1,"$204,508"
AFRICA UNIVERSITY,MUTARE,,ZIMBABWE,1,"$48,600"
AG BELL ASSN FOR DEAF & HARD OF HEARING,WASHINGTON,DC,UNITED STATES,1,$100
AGA KHAN UNIVERSITY,KARACHI,,PAKISTAN,2,"$300,663"
"AGENEBIO, INC.",Baltimore,MD,UNITED STATES,2,"$4,651,428"
"AGGAMIN PHARMACEUTICALS, LLC",NEW YORK,NY,UNITED STATES,1,"$849,886"
"AGILE SCIENCES, INC.",RALEIGH,NC,UNITED STATES,1,"$282,822"
"AI BIOSCIENCES, INC.",COLLEGE STATION,TX,UNITED STATES,3,"$1,217,111"
"AI TRACKING SOLUTIONS, LLC",CARRBORO,NC,UNITED STATES,1,"$224,997"
"AKONNI BIOSYSTEMS, INC.",FREDERICK,MD,UNITED STATES,2,"$373,942"
"AKOUOS, LLC",BROOKLINE,MA,UNITED STATES,1,"$223,568"
AKRON GENERAL MEDICAL CENTER,AKRON,OH,UNITED STATES,1,"$141,003"
AKSTON BIOSCIENCES CORPORATION,BEVERLY,MA,UNITED STATES,1,"$998,123"
"ALA SCIENTIFIC INSTRUMENTS, INC.",FARMINGDALE,NY,UNITED STATES,1,"$225,028"
ALABAMA AGRI AND MECH UNIVERSITY,NORMAL,AL,UNITED STATES,1,"$315,215"
ALABAMA FIRE COLLEGE,TUSCALOOSA,AL,UNITED STATES,1,"$636,281"
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,2,"$592,137"
ALASKA COMMUNITY ACTION ON TOXICS (ACAT),ANCHORAGE,AK,UNITED STATES,1,"$554,464"
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,ANCHORAGE,AK,UNITED STATES,2,"$678,889"
"ALAUNUS BIOSCIENCES, INC.",SAN FRANCISCO,CA,UNITED STATES,1,"$235,341"
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,3,"$1,440,000"
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,23,"$7,771,321"
"ALBANY MOLECULAR RESEARCH, INC.",ALBANY,NY,UNITED STATES,4,"$3,902,405"
ALBANY STATE UNIVERSITY,ALBANY,GA,UNITED STATES,1,"$105,160"
ALBERT EINSTEIN COLLEGE OF MEDICINE,BRONX,NY,UNITED STATES,1,"$759,492"
