ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,3,"$508,189"
"21ST CENTURY THERAPEUTICS, INC.",SHELBY TOWNSHIP,MI,UNITED STATES,1,"$154,852"
"360FRESH, INC.",Palo Alto,CA,UNITED STATES,1,"$100,000"
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,7,"$2,329,414"
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,2,"$1,113,986"
"3D BIOTEK, LLC",NORTH BRUNSWICK,NJ,UNITED STATES,1,"$99,902"
"3RD MILLENNIUM, INC",WALTHAM,MA,UNITED STATES,1,"$79,315"
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,1,"$184,029"
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,2,"$407,508"
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,12,"$6,511,180"
ABBOTT NORTHWESTERN HOSPITAL,MINNEAPOLIS,MN,UNITED STATES,1,"$165,526"
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,3,"$727,712"
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,"$372,518"
"ABQMR, INC.",ALBUQUERQUE,NM,UNITED STATES,1,"$189,480"
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,1,"$437,343"
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,1,"$167,177"
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,2,"$245,181"
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,UNITED STATES,1,"$100,000"
"ACADEMIC PHARMACEUTICALS, INC.",LAKE BLUFF,IL,UNITED STATES,1,"$100,188"
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,1,"$2,659,038"
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,UNITED STATES,1,"$113,322"
ACADEMY OF SCIENCES OF CZECH REPUBLIC,PRAGUE 4,,CZECH REPUBLIC,1,"$51,202"
"ACADUCEUS PHARMACEUTICS, INC.",CUPERTINO,CA,UNITED STATES,2,"$259,988"
"ACCENT MEDIA PRODUCTION, INC.",MC LEAN,VA,UNITED STATES,1,"$459,769"
ACCESS DUPAGE,CAROL STREAM,IL,UNITED STATES,1,"$27,000"
"ACCORD BIOMATERIALS, INC.",ANN ARBOR,MI,UNITED STATES,3,"$938,779"
"ACELOT, INC.",SANTA BARBARA,CA,UNITED STATES,1,"$420,569"
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,UNITED STATES,1,"$199,795"
ACMA SOCIAL MARKETING,SANTA FE,NM,UNITED STATES,1,"$100,001"
"ACOUSTIC MEDSYSTEMS, INC.",CHAMPAIGN,IL,UNITED STATES,1,"$1,000,000"
ACOUSTIC THERAPEUTICS,PHILADELPHIA,PA,UNITED STATES,1,"$145,340"
"ACTIVATOR METHODS INTERNATIONAL, LTD",PHOENIX,AZ,UNITED STATES,1,"$98,786"
"ACTIVE MOTIF, INC.",CARLSBAD,CA,UNITED STATES,1,"$142,932"
"ACTIVESITE PHARMACEUTICALS, INC.",BERKELEY,CA,UNITED STATES,1,"$435,382"
"ACTUATED MEDICAL, INC.",Bellefonte,PA,UNITED STATES,3,"$403,697"
ACULIGHT CORPORATION,BOTHELL,WA,UNITED STATES,0,"$86,133"
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,6,"$1,703,881"
"ADARZA BIOSYSTEMS, INC.",WEST HENRIETTA,NY,UNITED STATES,1,"$885,086"
ADULT CONGENITAL HEART ASSOCIATION,PHILADELPHIA,PA,UNITED STATES,1,"$41,843"
ADVAITA CORPORATION,TROY,MI,UNITED STATES,1,"$146,256"
"ADVANCED BIODEVICES, LLC",PRINCETON,NJ,UNITED STATES,1,"$207,980"
"ADVANCED BIOMEDICAL MACHINES, INC.",STONY BROOK,NY,UNITED STATES,1,"$100,231"
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,1,"$13,830,000"
"ADVANCED CELL DIAGNOSTICS, INC.",HAYWARD,CA,UNITED STATES,1,"$547,101"
"ADVANCED CIRCULATORY SYSTEMS, INC.",EDEN PRAIRIE,MN,UNITED STATES,2,"$376,343"
"ADVANCED DATA SYSTEMS, INC.",BIRMINGHAM,AL,UNITED STATES,1,"$112,033"
"ADVANCED DIAGNOSTICS, LLC",SHERBORN,MA,UNITED STATES,1,"$322,040"
"ADVANCED GENETIC SYSTEMS, INC.",SAN FRANCISCO,CA,UNITED STATES,1,"$296,696"
ADVANCED HEARING CONCEPTS,BODEGA BAY,CA,UNITED STATES,1,"$442,983"
"ADVANCED IMMUNE THERAPEUTICS, INC.",WELLESLEY,MA,UNITED STATES,2,"$212,205"
ADVANCED LIQUID LOGIC,RESEARCH TRIANGLE PARK,NC,UNITED STATES,4,"$1,313,831"
ADVANCED LIQUID LOGIC,RESEARCH TRIANGLE PARK,NC,UNITED STATES,1,"$5,217,652"
"ADVANCED MATERIALS TECHNOLOGY, INC.",WILMINGTON,DE,UNITED STATES,1,"$305,000"
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,UNITED STATES,6,"$2,004,446"
"ADVANCED MICROLABS, LLC",FORT COLLINS,CO,UNITED STATES,1,"$447,523"
"ADVANCED MRI TECHNOLOGY, LLC",SEBASTOPOL,CA,UNITED STATES,2,"$787,405"
"ADVANCED NEURAL DYNAMICS, INC.",DOYLESTOWN,PA,UNITED STATES,1,"$296,040"
"ADVANCED REFRIGERATION TECHNOLOGIES, INC",BOULDER,CO,UNITED STATES,1,"$150,000"
"ADVANCED TARGETING SYSTEMS, INC.",SAN DIEGO,CA,UNITED STATES,1,"$99,175"
ADVANCES IN MINERAL METABOLISM,ROCHESTER,MN,UNITED STATES,1,"$15,000"
"ADVANTAGENE, INC",Auburndale,MA,UNITED STATES,2,"$1,983,389"
"ADVAXIS, INC.",North Brunswick,NJ,UNITED STATES,1,"$210,739"
ADVOCACY FOR PATIENTS / CHRONIC ILLNESS,FARMINGTON,CT,UNITED STATES,1,"$25,000"
"AEGIS BIOSCIENCES, LLC",SPOKANE,WA,UNITED STATES,1,"$441,383"
"AEON IMAGING, LLC",BLOOMINGTON,IN,UNITED STATES,1,"$247,389"
"AERODYNE RESEARCH, INC",BILLERICA,MA,UNITED STATES,1,"$995,077"
"AEROMICS, LLC",Cleveland,OH,UNITED STATES,1,"$300,000"
"AEROPHASE, INC.",LONGMONT,CO,UNITED STATES,1,"$775,040"
"AEROSOL DYNAMICS, INC.",BERKELEY,CA,UNITED STATES,1,"$366,445"
"AFASCI, INC.",BURLINGAME,CA,UNITED STATES,2,"$575,704"
"AFFINERGY ,INC",RESEARCH TRIANGLE PARK,NC,UNITED STATES,11,"$7,525,254"
"AFFOMIX, INC.",GUILFORD,CT,UNITED STATES,1,"$100,000"
"AFRAME DIGITAL, INC.",LOVETTSVILLE,VA,UNITED STATES,1,"$99,932"
AGA KHAN UNIVERSITY,KARACHI,,PAKISTAN,4,"$476,311"
"AGENNIX, INC.",HOUSTON,TX,UNITED STATES,2,"$1,392,345"
"AGENTA BIOTECHNOLOGIES, INC.",BIRMINGHAM,AL,UNITED STATES,1,"$479,707"
"AGENTASE, LLC",PITTSBURGH,PA,UNITED STATES,1,"$354,142"
"AGENTSHEETS, INC.",BOULDER,CO,UNITED STATES,0,"$60,413"
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,CA,UNITED STATES,1,"$496,402"
"AGILTRON, INC.",WOBURN,MA,UNITED STATES,1,"$99,982"
AGNES SCOTT COLLEGE,DECATUR,GA,UNITED STATES,2,"$267,404"
"AJ MEDICAL DEVICES, INC.",Wilmette,IL,UNITED STATES,1,"$988,145"
"AKESO HEALTH SCIENCES, LLC",WESTLAKE VILLAGE,CA,UNITED STATES,1,"$483,625"
"AKINA, INC.",WEST LAFAYETTE,IN,UNITED STATES,2,"$468,659"
"AKONNI BIOSYSTEMS, INC.",Frederick,MD,UNITED STATES,1,"$999,468"
"AKTIV-DRY, LLC",BOULDER,CO,UNITED STATES,1,"$577,005"
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,1,"$337,239"
ALAN GUTTMACHER INSTITUTE,NEW YORK,NY,UNITED STATES,2,"$565,278"
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,ANCHORAGE,AK,UNITED STATES,0,"$5,727"
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,4,"$926,557"
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,38,"$11,024,764"
ALBANY STATE UNIVERSITY,ALBANY,GA,UNITED STATES,3,"$993,107"
"ALBA-TECHNIC, LLC",ARUNDEL,ME,UNITED STATES,1,"$156,592"
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,BRONX,NY,UNITED STATES,4,"$4,480,731"
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,BRONX,NY,UNITED STATES,314,"$135,352,485"
ALBERT EINSTEIN HEALTHCARE NETWORK,PHILADELPHIA,PA,UNITED STATES,2,"$1,395,839"
ALCOR BIOSEPARATIONS,PALO ALTO,CA,UNITED STATES,1,"$222,036"
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,UNITED STATES,2,"$334,229"
"ALDERON BIOSCIENCES, INC.",Newport,NC,UNITED STATES,3,"$850,649"
ALEXIAN BROTHERS MEDICAL CENTER,ELK GROVE VILLAGE,IL,UNITED STATES,1,"$404,389"
ALFRED I. DU PONT HOSP FOR CHILDREN,WILMINGTON,DE,UNITED STATES,5,"$1,348,633"
"ALINEA GROUP, LLC",SAN FRANCISCO,CA,UNITED STATES,1,"$30,000"
ALION SCIENCE AND TECHNOLOGY CORP,DURHAM,NC,UNITED STATES,1,"$2,237,942"
ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,UNITED STATES,1,"$162,501"
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,UNITED STATES,3,"$1,105,227"
"ALLEGRO DIAGNOSTICS, INC.",BOSTON,MA,UNITED STATES,1,"$277,875"
ALLELE BIOTECHNOLOGY AND PHARMACEUTICALS,SAN DIEGO,CA,UNITED STATES,1,"$150,000"
ALLEN INSTITUTE FOR BRAIN SCIENCE,SEATTLE,WA,UNITED STATES,3,"$1,173,609"
ALLEN INSTITUTE FOR BRAIN SCIENCE,SEATTLE,WA,UNITED STATES,1,"$3,168,803"
ALLIANCE FOR COMMUNITY RESEARCH & DEV,MERCED,CA,UNITED STATES,1,"$102,257"
"ALLIED INNOVATIVE SYSTEMS, LLC",Hillsborough,NJ,UNITED STATES,1,"$95,420"
"ALLTRANZ, INC.",LEXINGTON,KY,UNITED STATES,1,"$115,025"
"ALLUVIUM BIOSCIENCES, INC.",ANN ARBOR,MI,UNITED STATES,1,"$322,693"
ALMA COLLEGE,ALMA,MI,UNITED STATES,1,"$65,488"
ALNYLAM PHARMACEUTICALS,CAMBRIDGE,MA,UNITED STATES,1,"$1,227,753"
"ALPHA GENESIS, INC.",YEMASSEE,SC,UNITED STATES,1,"$2,108,482"
"ALPHA UNIVERSE, LLC",MADISON,WI,UNITED STATES,1,"$231,314"
"ALPHAMED, INC",Wrentham,MA,UNITED STATES,1,"$150,000"
"ALPHAMED, INC",ACTON,MA,UNITED STATES,2,"$468,211"
"ALPHAVAX HUMAN VACCINES, INC.",RESEARCH TRIANGLE PARK,NC,UNITED STATES,2,"$1,896,158"
"ALTEC, INC.",BOSTON,MA,UNITED STATES,1,"$446,520"
ALTOR BIOSCIENCE CORPORATION,MIRAMAR,FL,UNITED STATES,3,"$1,366,736"
ALWAYSON MRI,WELLESLEY,MA,UNITED STATES,1,"$96,721"
ALZHEIMER'S DRUG DISCOVERY FOUNDATION,NEW YORK,NY,UNITED STATES,1,"$101,500"
"AM BIOTECHNOLOGIES, LLC",Houston,TX,UNITED STATES,2,"$223,207"
"AMAR INTERNATIONAL, INC.",RESTON,VA,UNITED STATES,1,"$1,579,415"
"AMBERGEN, INC",Watertown,MA,UNITED STATES,7,"$3,490,893"
"AMBION DIAGNOSTICS, INC.",AUSTIN,TX,UNITED STATES,7,"$3,063,007"
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,Providence,RI,UNITED STATES,1,"$50,000"
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,IL,UNITED STATES,1,"$25,000"
AMERICAN ACADEMY OF PEDIATRICS,ELK GROVE VILLAGE,IL,UNITED STATES,1,"$15,000"
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,UNITED STATES,1,"$1,248,747"
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,UNITED STATES,5,"$962,655"
AMERICAN ASSOCIATION FOR DENTAL RESEARCH,ALEXANDRIA,VA,UNITED STATES,2,"$80,000"
AMERICAN ASSOCIATION FOR THE ADV OF SCI,WASHINGTON,DC,UNITED STATES,1,"$253,408"
AMERICAN AUTOIMMUNE RELATED DIS ASSOC,EASTPOINTE,MI,UNITED STATES,1,"$7,000"
"AMERICAN BIOOPTICS, LLC",Evanston,IL,UNITED STATES,1,"$346,336"
