ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"13THERAPEUTICS, INC.",PORTLAND,OR,UNITED STATES,1,"$999,605"
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,1,"$1,000,000"
"21ST CENTURY THERAPEUTICS, INC.",,MI,UNITED STATES,1,"$186,857"
"21ST CENTURY THERAPEUTICS, INC.",SHELBY TOWNSHIP,MI,UNITED STATES,1,"$591,522"
"2B TECHNOLOGIES, INC.",Boulder,CO,UNITED STATES,1,"$371,307"
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,UNITED STATES,3,"$1,219,458"
4 D TECHNOLOGY CORPORATION,TUCSON,AZ,UNITED STATES,1,"$500,934"
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,UNITED STATES,2,"$691,398"
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,1,"$210,490"
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,11,"$5,639,409"
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,1,"$663,647"
"ABLATION NUMERICS, INC.",LA JOLLA,CA,UNITED STATES,1,"$361,816"
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,"$447,666"
"ABQMR, INC.",ALBUQUERQUE,NM,UNITED STATES,1,"$317,293"
ABRATECH CORPORATION,Mill Valley,CA,UNITED STATES,1,"$149,798"
"ABZYME THERAPEUTICS, LLC",MALVERN,PA,UNITED STATES,1,"$282,519"
ACADEMY FOR EDUCATIONAL DEVELOPMENT,,DC,UNITED STATES,1,"$2,140,464"
"ACADIA PHARMACEUTICALS, INC.",SAN DIEGO,CA,UNITED STATES,1,"$300,000"
"ACADUCEUS PHARMACEUTICS, INC.",CUPERTINO,CA,UNITED STATES,1,"$236,000"
"ACCESSIBLE DESIGNS, INC.",SAN ANTONIO,TX,UNITED STATES,1,"$393,624"
"ACCLARO RESEARCH SOLUTIONS, INC.",,MD,UNITED STATES,1,"$106,880"
"ACCORD BIOMATERIALS, INC.",ANN ARBOR,MI,UNITED STATES,1,"$873,517"
"ACCOUNTABILITY SOLUTIONS, INC.",SANTA FE,NM,UNITED STATES,1,"$120,605"
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,UNITED STATES,1,"$389,762"
"ACHAOGEN, INC.",,CA,UNITED STATES,1,"$5,160,457"
"ACME EXPRESS, INC.",CLEVELAND,OH,UNITED STATES,1,"$573,161"
"ACOUSTIC MEDSYSTEMS, INC.",CHAMPAIGN,IL,UNITED STATES,2,"$2,114,212"
"ACPHARIS, INC.",HOLLISTON,MA,UNITED STATES,1,"$98,055"
"ACTIVE MOTIF, INC.",CARLSBAD,CA,UNITED STATES,1,"$25,140"
"ACTUATED MEDICAL, INC.",BELLEFONTE,PA,UNITED STATES,2,"$779,314"
"ACUMEN, LLC",BURLINGAME,CA,UNITED STATES,2,"$430,384"
"ACUMEN, LLC",,CA,UNITED STATES,1,"$29,991"
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,1,"$359,198"
ADAPTIVE TCR CORPORATION,SEATTLE,WA,UNITED STATES,2,"$448,914"
"ADDIS, INC.",,MD,UNITED STATES,1,"$498,772"
ADELPHI UNIVERSITY,GARDEN CITY,NY,UNITED STATES,1,"$283,108"
ADERA,PESSAC,,FRANCE,1,"$1,653,274"
ADURO BIOTECH,BERKELEY,CA,UNITED STATES,2,"$259,122"
ADVAITA CORPORATION,TROY,MI,UNITED STATES,1,"$749,578"
"ADVANCED BIODEVICES, LLC",PRINCETON,NJ,UNITED STATES,1,"$441,949"
"ADVANCED BIOMEDICAL MACHINES, INC.",STONY BROOK,NY,UNITED STATES,1,"$778,161"
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,MD,UNITED STATES,5,"$10,152,810"
"ADVANCED BRAIN MONITORING, INC.",CARLSBAD,CA,UNITED STATES,1,"$150,992"
"ADVANCED BRAIN MONITORING, INC.",,CA,UNITED STATES,1,"$150,000"
"ADVANCED CELL DIAGNOSTICS, INC.",HAYWARD,CA,UNITED STATES,1,"$1,006,336"
"ADVANCED CIRCULATORY SYSTEMS, INC.",Roseville,MN,UNITED STATES,2,"$528,326"
"ADVANCED DIAMOND TECHNOLOGIES, INC.",romeoville,IL,UNITED STATES,2,"$297,903"
"ADVANCED GENOMIC TECHNOLOGY, LLC",LOUISVILLE,KY,UNITED STATES,1,"$822,684"
"ADVANCED HEARING CONCEPTS, INC.",BODEGA BAY,CA,UNITED STATES,1,"$94,874"
ADVANCED LIQUID LOGIC,RESEARCH TRIANGLE PARK,NC,UNITED STATES,5,"$2,643,909"
"ADVANCED MATERIALS TECHNOLOGY, INC.",WILMINGTON,DE,UNITED STATES,2,"$403,156"
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,UNITED STATES,7,"$2,850,659"
"ADVANCED MICROLABS, LLC",FORT COLLINS,CO,UNITED STATES,1,"$401,406"
"ADVANCED MRI TECHNOLOGY, LLC",SEBASTOPOL,CA,UNITED STATES,1,"$287,441"
"ADVANCED PLASMA PRODUCTS, INC.",KNOXVILLE,TN,UNITED STATES,1,"$418,938"
"ADVANCED RNA TECHNOLOGIES, LLC",BOULDER,CO,UNITED STATES,1,"$225,000"
ADVANCES IN MINERAL METABOLISM,ROCHESTER,MN,UNITED STATES,1,"$15,000"
"ADVANTAGENE, INC",Auburndale,MA,UNITED STATES,1,"$1,902,504"
ADVENTIUM ENTERPRISES,MINNEAPOLIS,MN,UNITED STATES,1,"$250,000"
"AEON IMAGING, LLC",BLOOMINGTON,IN,UNITED STATES,2,"$1,512,372"
AERAS GLOBAL TB VACCINE FOUNDATION,ROCKVILLE,MD,UNITED STATES,1,"$131,388"
"AEROMICS, LLC",CLEVELAND,OH,UNITED STATES,2,"$1,242,019"
"AESTUS THERAPEUTICS, INC.",North Brunswick,NJ,UNITED STATES,1,"$1,308,367"
"AFASCI, INC.",Redwood City,CA,UNITED STATES,3,"$816,486"
"AFFINERGY ,INC",RESEARCH TRIANGLE PARK,NC,UNITED STATES,4,"$2,850,727"
"AFRAME DIGITAL, INC.",LOVETTSVILLE,VA,UNITED STATES,1,"$147,264"
AG BELL ASSN FOR DEAF & HARD OF HEARING,WASHINGTON,DC,UNITED STATES,1,$100
AGA KHAN UNIVERSITY,KARACHI,,PAKISTAN,2,"$370,535"
"AGENTA BIOTECHNOLOGIES, INC.",BIRMINGHAM,AL,UNITED STATES,1,"$157,069"
"AGILE SCIENCES, INC.",RALEIGH,NC,UNITED STATES,4,"$1,288,615"
"AGILTRON, INC.",,MA,UNITED STATES,1,"$147,753"
"AGILTRON, INC.",WOBURN,MA,UNITED STATES,1,"$149,939"
"AGIOS PHARMACEUTICALS, INC.",CAMBRIDGE,MA,UNITED STATES,1,"$33,750"
AGNES SCOTT COLLEGE,DECATUR,GA,UNITED STATES,5,"$1,247,469"
"AGRI-ANALYSIS, LLC",West Sacramento,CA,UNITED STATES,2,"$681,330"
"AI CURE TECHNOLOGIES, LLC",MOUNT KISCO,NY,UNITED STATES,1,"$273,165"
"AKINA, INC.",WEST LAFAYETTE,IN,UNITED STATES,1,"$100,001"
"AKONNI BIOSYSTEMS, INC.",FREDERICK,MD,UNITED STATES,3,"$1,495,613"
AKRON GENERAL MEDICAL CENTER,AKRON,OH,UNITED STATES,1,"$71,520"
"AKROTOME IMAGING, INC.",,CA,UNITED STATES,1,"$249,912"
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,1,"$220,435"
ALAN GUTTMACHER INSTITUTE,NEW YORK,NY,UNITED STATES,3,"$812,145"
"ALAN PENN AND ASSOCIATES, INC.",,MD,UNITED STATES,1,"$192,886"
ALASKA COMMUNITY ACTION ON TOXICS (ACAT),ANCHORAGE,AK,UNITED STATES,1,"$471,521"
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,3,"$1,065,402"
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,34,"$9,750,854"
"ALBANY MOLECULAR RESEARCH, INC.",,NY,UNITED STATES,1,"$9,951,608"
"ALBANY RESEARCH INSTITUTE, INC.",ALBANY,NY,UNITED STATES,1,"$263,877"
ALBANY STATE UNIVERSITY,ALBANY,GA,UNITED STATES,3,"$1,299,497"
"ALBA-TECHNIC, LLC",ARUNDEL,ME,UNITED STATES,1,"$536,315"
ALBERT B. SABIN VACCINE INSTITUTE,WASHINGTON,DC,UNITED STATES,1,"$561,750"
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,BRONX,NY,UNITED STATES,353,"$167,197,451"
ALBERT EINSTEIN HEALTHCARE NETWORK,PHILADELPHIA,PA,UNITED STATES,5,"$2,173,685"
ALCHEM LABORATORIES CORPORATION,,FL,UNITED STATES,2,"$725,000"
"ALCOMED, INC.",LEXINGTON,KY,UNITED STATES,1,"$975,907"
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,UNITED STATES,2,"$229,527"
"ALDERON BIOSCIENCES, INC.",Beaufort,NC,UNITED STATES,1,"$470,619"
"ALERE TOXICOLOGY SERVICES, INC.",,LA,UNITED STATES,1,"$321,375"
"ALEXANDER BIODISCOVERIES, LLC",CHARLOTTESVILLE,VA,UNITED STATES,1,"$300,000"
ALFRED I. DU PONT HOSP FOR CHILDREN,WILMINGTON,DE,UNITED STATES,3,"$2,634,929"
ALGENTA TECHNOLOGIES,Minneapolis,MN,UNITED STATES,1,"$150,000"
"ALGOMEDIX, INC.",MILL CREEK,WA,UNITED STATES,1,"$316,121"
"ALGOTEK, INC.",,MD,UNITED STATES,1,"$125,008"
ALION SCIENCE AND TECHNOLOGY CORP,,NC,UNITED STATES,1,"$3,922,126"
"ALKERMES, INC.",WALTHAM,MA,UNITED STATES,1,"$1,037,900"
"ALKYMOS, INC",LEXINGTON,KY,UNITED STATES,1,"$213,542"
ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,UNITED STATES,1,"$188,998"
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,UNITED STATES,6,"$1,705,516"
"ALLEGRO DIAGNOSTICS, INC.",Maynard,MA,UNITED STATES,1,"$828,984"
ALLELE BIOTECHNOLOGY AND PHARMACEUTICALS,,CA,UNITED STATES,1,"$200,000"
ALLEN INSTITUTE FOR BRAIN SCIENCE,SEATTLE,WA,UNITED STATES,3,"$969,243"
ALLEN INSTITUTE FOR BRAIN SCIENCE,,WA,UNITED STATES,1,"$4,000,000"
"ALLIED INNOVATIVE SYSTEMS, LLC",HILLSBOROUGH,NJ,UNITED STATES,1,"$390,262"
ALLINA HEALTH SYSTEM,MINNEAPOLIS,MN,UNITED STATES,1,"$617,404"
"ALLOSTEROS THERAPEUTICS, INC.",PALO ALTO,CA,UNITED STATES,2,"$462,087"
"ALLTRANZ, INC.",LEXINGTON,KY,UNITED STATES,1,"$160,500"
"ALLVIVO VASCULAR, INC.",LAKE FOREST,CA,UNITED STATES,1,"$999,440"
"ALPHA OMEGA BIOTECHNOLOGY SERVICES, LLC",,MD,UNITED STATES,1,"$2,374,002"
"ALPHACORE PHARMA, LLC",ANN ARBOR,MI,UNITED STATES,1,"$231,470"
"ALS BIOPHARMA, LLC",DOYLESTOWN,PA,UNITED STATES,1,"$189,000"
ALTARUM INSTITUTE,ANN ARBOR,MI,UNITED STATES,1,"$110,431"
ALTOR BIOSCIENCE CORPORATION,MIRAMAR,FL,UNITED STATES,4,"$2,504,093"
"ALTRAVAX, INC.",FARGO,ND,UNITED STATES,3,"$899,242"
ALZHEIMER'S DRUG DISCOVERY FOUNDATION,NEW YORK,NY,UNITED STATES,1,"$75,000"
"AM BIOTECHNOLOGIES, LLC",HOUSTON,TX,UNITED STATES,2,"$631,939"
"AMBERGEN, INC",WATERTOWN,MA,UNITED STATES,3,"$1,674,022"
"AMBION DIAGNOSTICS, INC.",AUSTIN,TX,UNITED STATES,1,"$454,107"
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,East Providence,RI,UNITED STATES,1,"$50,000"
"AMERICAN ACADEMY OF AUDIOLOGY, INC.",RESTON,VA,UNITED STATES,1,"$31,200"
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,IL,UNITED STATES,1,"$15,000"
AMERICAN ACADEMY OF PEDIATRICS,ELK GROVE VILLAGE,IL,UNITED STATES,2,"$555,202"
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,UNITED STATES,1,"$459,943"
"AMERICAN AGING ASSOCIATION, INC.",CLEVELAND,OH,UNITED STATES,1,"$50,000"
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,UNITED STATES,7,"$1,027,628"
AMERICAN ASSOCIATION FOR DENTAL RESEARCH,ALEXANDRIA,VA,UNITED STATES,1,"$50,000"
"AMERICAN CANCER SOCIETY, INC.",ATLANTA,GA,UNITED STATES,1,"$288,303"
AMERICAN COLLEGE OF MEDICAL GENETICS,,MD,UNITED STATES,1,"$3,881,351"
AMERICAN COLLEGE OF RADIOLOGY,RESTON,VA,UNITED STATES,4,"$26,332,153"
AMERICAN COLLEGE OF RHEUMATOLOGY,ATLANTA,GA,UNITED STATES,2,"$83,000"
